term_id,article_id,term,term_type,source_field,position,published_date,tags,relevance_score,source_url,collected_at
%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%ec%95%8c-%ec%_4,%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%ec%95%8c-%ec%,🙏 기도해 드릴게요,phrase,h3,4,2026-03-30,SNS|밈|바이럴,3,https://gogumafarm.kr/%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%ec%95%8c-%ec%88%98-%ec%9e%88%eb%8f%84%eb%a1%9d-%ea%b8%b0%eb%8f%84%ed%95%b4-%eb%93%9c%eb%a6%b4%ea%b2%8c%ec%9a%94-2026%eb%85%84-3/,2026-07-09T15:19:51+09:00
%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%ec%95%8c-%ec%_5,%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%ec%95%8c-%ec%,✨ 대한민국 유행 진짜 훅훅 바뀌는 듯 그럼 다음은 무조건 ~겠지,phrase,h3,5,2026-03-30,SNS|밈|바이럴,3,https://gogumafarm.kr/%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%ec%95%8c-%ec%88%98-%ec%9e%88%eb%8f%84%eb%a1%9d-%ea%b8%b0%eb%8f%84%ed%95%b4-%eb%93%9c%eb%a6%b4%ea%b2%8c%ec%9a%94-2026%eb%85%84-3/,2026-07-09T15:19:51+09:00
%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%ec%95%8c-%ec%_6,%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%ec%95%8c-%ec%,🧊 동결건조,keyword,h3,6,2026-03-30,SNS|밈|바이럴,3,https://gogumafarm.kr/%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%ec%95%8c-%ec%88%98-%ec%9e%88%eb%8f%84%eb%a1%9d-%ea%b8%b0%eb%8f%84%ed%95%b4-%eb%93%9c%eb%a6%b4%ea%b2%8c%ec%9a%94-2026%eb%85%84-3/,2026-07-09T15:19:51+09:00
%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9a%94%ec%a6%98-%eb%9_1,%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9a%94%ec%a6%98-%eb%9,"앉으라고, 밈 찾으러 왔잖아",phrase,h2,1,2026-01-26,SNS|밈|바이럴,3,https://gogumafarm.kr/%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9a%94%ec%a6%98-%eb%9c%a8%eb%8a%94-%eb%b0%88-%ec%95%8c%eb%a0%a4-%eb%8b%ac%eb%9e%ac%ec%a7%80-2026%eb%85%84-1%ec%9b%94-%ec%b5%9c%ec%8b%a0/,2026-07-09T15:19:51+09:00
%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9a%94%ec%a6%98-%eb%9_2,%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9a%94%ec%a6%98-%eb%9,윤정아 윤정아 왜요 쌤 왜요 쌤🕺,phrase,h3,2,2026-01-26,SNS|밈|바이럴,3,https://gogumafarm.kr/%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9a%94%ec%a6%98-%eb%9c%a8%eb%8a%94-%eb%b0%88-%ec%95%8c%eb%a0%a4-%eb%8b%ac%eb%9e%ac%ec%a7%80-2026%eb%85%84-1%ec%9b%94-%ec%b5%9c%ec%8b%a0/,2026-07-09T15:19:51+09:00
%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9a%94%ec%a6%98-%eb%9_3,%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9a%94%ec%a6%98-%eb%9,좋🤙다👍,keyword,h3,3,2026-01-26,SNS|밈|바이럴,3,https://gogumafarm.kr/%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9a%94%ec%a6%98-%eb%9c%a8%eb%8a%94-%eb%b0%88-%ec%95%8c%eb%a0%a4-%eb%8b%ac%eb%9e%ac%ec%a7%80-2026%eb%85%84-1%ec%9b%94-%ec%b5%9c%ec%8b%a0/,2026-07-09T15:19:51+09:00
%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9a%94%ec%a6%98-%eb%9_4,%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9a%94%ec%a6%98-%eb%9,운동 많이 된다 스트레스 많이 받을 거야 👟,phrase,h3,4,2026-01-26,SNS|밈|바이럴,3,https://gogumafarm.kr/%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9a%94%ec%a6%98-%eb%9c%a8%eb%8a%94-%eb%b0%88-%ec%95%8c%eb%a0%a4-%eb%8b%ac%eb%9e%ac%ec%a7%80-2026%eb%85%84-1%ec%9b%94-%ec%b5%9c%ec%8b%a0/,2026-07-09T15:19:51+09:00
%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9a%94%ec%a6%98-%eb%9_5,%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9a%94%ec%a6%98-%eb%9,단어 습득하는 몬스터 👾,phrase,h3,5,2026-01-26,SNS|밈|바이럴,3,https://gogumafarm.kr/%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9a%94%ec%a6%98-%eb%9c%a8%eb%8a%94-%eb%b0%88-%ec%95%8c%eb%a0%a4-%eb%8b%ac%eb%9e%ac%ec%a7%80-2026%eb%85%84-1%ec%9b%94-%ec%b5%9c%ec%8b%a0/,2026-07-09T15:19:51+09:00
%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9a%94%ec%a6%98-%eb%9_6,%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9a%94%ec%a6%98-%eb%9,놀기 신청하러 온 거야? 😼,phrase,h3,6,2026-01-26,SNS|밈|바이럴,3,https://gogumafarm.kr/%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9a%94%ec%a6%98-%eb%9c%a8%eb%8a%94-%eb%b0%88-%ec%95%8c%eb%a0%a4-%eb%8b%ac%eb%9e%ac%ec%a7%80-2026%eb%85%84-1%ec%9b%94-%ec%b5%9c%ec%8b%a0/,2026-07-09T15:19:51+09:00
%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9a%94%ec%a6%98-%eb%9_7,%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9a%94%ec%a6%98-%eb%9,난리자베스✨,keyword,h3,7,2026-01-26,SNS|밈|바이럴,3,https://gogumafarm.kr/%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9a%94%ec%a6%98-%eb%9c%a8%eb%8a%94-%eb%b0%88-%ec%95%8c%eb%a0%a4-%eb%8b%ac%eb%9e%ac%ec%a7%80-2026%eb%85%84-1%ec%9b%94-%ec%b5%9c%ec%8b%a0/,2026-07-09T15:19:51+09:00
2025%eb%85%84%ec%97%94-%ec%95%84%ec%a3%bc-%eb%a7%8e%ec%9d%80-%eb%b0%88%ec%9d%b4-_1,2025%eb%85%84%ec%97%94-%ec%95%84%ec%a3%bc-%eb%a7%8e%ec%9d%80-%eb%b0%88%ec%9d%b4-,올해 가장 강렬했던 캐릭터는,phrase,h2,1,2025-12-17,SNS|밈|바이럴,3,https://gogumafarm.kr/2025%eb%85%84%ec%97%94-%ec%95%84%ec%a3%bc-%eb%a7%8e%ec%9d%80-%eb%b0%88%ec%9d%b4-%ec%9e%87%ec%97%87%ec%8a%a8-%ec%98%ac%ed%95%b4%eb%a5%bc-%eb%92%a4%ed%9d%94%eb%93%a0-%eb%b0%88-%ec%b4%9d/,2026-07-09T15:19:51+09:00
2025%eb%85%84%ec%97%94-%ec%95%84%ec%a3%bc-%eb%a7%8e%ec%9d%80-%eb%b0%88%ec%9d%b4-_2,2025%eb%85%84%ec%97%94-%ec%95%84%ec%a3%bc-%eb%a7%8e%ec%9d%80-%eb%b0%88%ec%9d%b4-,내한하면 떼창부터 터질 것 같은 무대는,phrase,h2,2,2025-12-17,SNS|밈|바이럴,3,https://gogumafarm.kr/2025%eb%85%84%ec%97%94-%ec%95%84%ec%a3%bc-%eb%a7%8e%ec%9d%80-%eb%b0%88%ec%9d%b4-%ec%9e%87%ec%97%87%ec%8a%a8-%ec%98%ac%ed%95%b4%eb%a5%bc-%eb%92%a4%ed%9d%94%eb%93%a0-%eb%b0%88-%ec%b4%9d/,2026-07-09T15:19:51+09:00
